Cities,Latitude,Longitude,Weather,Temperature,Humidity,Wind,Date
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,5.92,69,5.01,2023-01-23
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,5.94,70,5.64,2023-01-24
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,6.32,71,4.75,2023-01-25
Mont Saint Michel,48.6359541,-1.511459954959514,light rain,7.91,70,7.09,2023-01-26
Mont Saint Michel,48.6359541,-1.511459954959514,broken clouds,7.27,69,6.76,2023-01-27
Mont Saint Michel,48.6359541,-1.511459954959514,broken clouds,6.24,75,3.37,2023-01-28
Mont Saint Michel,48.6359541,-1.511459954959514,light rain,7.28,70,5.43,2023-01-29
St Malo,48.649518,-2.0260409,clear sky,5.6,74,6.67,2023-01-23
St Malo,48.649518,-2.0260409,scattered clouds,5.8,77,7.52,2023-01-24
St Malo,48.649518,-2.0260409,clear sky,6.19,77,5.67,2023-01-25
St Malo,48.649518,-2.0260409,light rain,7.53,72,9.19,2023-01-26
St Malo,48.649518,-2.0260409,light rain,6.67,70,9.68,2023-01-27
St Malo,48.649518,-2.0260409,broken clouds,7.23,77,4.31,2023-01-28
St Malo,48.649518,-2.0260409,light rain,7.5,69,6.69,2023-01-29
Bayeux,49.2764624,-0.7024738,scattered clouds,5.8,71,6.18,2023-01-23
Bayeux,49.2764624,-0.7024738,few clouds,5.45,76,6.82,2023-01-24
Bayeux,49.2764624,-0.7024738,clear sky,6.64,74,4.25,2023-01-25
Bayeux,49.2764624,-0.7024738,light rain,7.04,75,8.64,2023-01-26
Bayeux,49.2764624,-0.7024738,light rain,6.4,75,7.76,2023-01-27
Bayeux,49.2764624,-0.7024738,broken clouds,6.7,75,3.54,2023-01-28
Bayeux,49.2764624,-0.7024738,light rain,6.86,70,6.38,2023-01-29
Le Havre,49.4938975,0.1079732,clear sky,5.72,71,6.21,2023-01-23
Le Havre,49.4938975,0.1079732,clear sky,4.94,72,6.09,2023-01-24
Le Havre,49.4938975,0.1079732,clear sky,5.34,69,4.68,2023-01-25
Le Havre,49.4938975,0.1079732,light rain,6.83,73,8.6,2023-01-26
Le Havre,49.4938975,0.1079732,light rain,7.64,67,9.03,2023-01-27
Le Havre,49.4938975,0.1079732,broken clouds,5.44,78,4.18,2023-01-28
Le Havre,49.4938975,0.1079732,light rain,6.7,68,6.34,2023-01-29
Rouen,49.4404591,1.0939658,overcast clouds,4.28,79,5.3,2023-01-23
Rouen,49.4404591,1.0939658,clear sky,3.65,72,5.13,2023-01-24
Rouen,49.4404591,1.0939658,clear sky,5.23,63,3.71,2023-01-25
Rouen,49.4404591,1.0939658,light rain,5.94,81,6.64,2023-01-26
Rouen,49.4404591,1.0939658,clear sky,6.7,69,6.18,2023-01-27
Rouen,49.4404591,1.0939658,scattered clouds,5.79,71,3.54,2023-01-28
Rouen,49.4404591,1.0939658,light rain,6.47,70,4.51,2023-01-29
Paris,48.8588897,2.3200410217200766,broken clouds,2.43,79,4.93,2023-01-23
Paris,48.8588897,2.3200410217200766,few clouds,3.71,67,4.32,2023-01-24
Paris,48.8588897,2.3200410217200766,clear sky,4.54,69,2.79,2023-01-25
Paris,48.8588897,2.3200410217200766,light rain,6.77,70,5.32,2023-01-26
Paris,48.8588897,2.3200410217200766,broken clouds,5.49,64,6.25,2023-01-27
Paris,48.8588897,2.3200410217200766,scattered clouds,3.58,58,2.39,2023-01-28
Paris,48.8588897,2.3200410217200766,light rain,6.25,72,3.18,2023-01-29
Amiens,49.8941708,2.2956951,overcast clouds,3.48,85,5.85,2023-01-23
Amiens,49.8941708,2.2956951,broken clouds,3.95,72,5.61,2023-01-24
Amiens,49.8941708,2.2956951,clear sky,4.65,65,3.41,2023-01-25
Amiens,49.8941708,2.2956951,light rain,6.06,80,7.38,2023-01-26
Amiens,49.8941708,2.2956951,clear sky,5.8,69,6.44,2023-01-27
Amiens,49.8941708,2.2956951,broken clouds,4.94,67,2.91,2023-01-28
Amiens,49.8941708,2.2956951,light rain,6.03,75,4.35,2023-01-29
Lille,50.6365654,3.0635282,overcast clouds,3.35,86,4.35,2023-01-23
Lille,50.6365654,3.0635282,broken clouds,3.08,74,4.49,2023-01-24
Lille,50.6365654,3.0635282,clear sky,4.12,61,2.39,2023-01-25
Lille,50.6365654,3.0635282,light rain,6.49,78,6.5,2023-01-26
